lon,lat,mag,time_string,depth,catalog_id,event_id
176.8043671,-40.82900238,3.819264075,2016-11-25T11:28:42.978000,23.7353363,,2016p890481
173.6891632,-42.34952164,3.271570609,2016-11-25T10:40:09.694000,9.230554581,,2016p890390
173.7277832,-42.06726074,3.032053301,2016-11-25T09:54:56.770000,5.0,,2016p890305
172.4927673,-42.68875885,3.062211359,2016-11-25T09:08:42.029000,5.0,,2016p890218
179.1784973,-37.50072098,3.015682991,2016-11-25T09:06:15.616000,12.0,,2016p890214
176.8817902,-40.85837173,3.122665224,2016-11-25T09:04:41.654000,33.0,,2016p890211
173.8554993,-42.28973389,3.06142267,2016-11-25T09:00:16.149000,12.10486031,,2016p890203
174.7180176,-39.41627884,3.194129671,2016-11-25T07:39:02.549000,20.56299019,,2016p890049
176.7901001,-40.58779144,3.54520772,2016-11-25T07:27:24.314000,20.21714211,,2016p890028
173.4065094,-42.50701523,3.438023562,2016-11-25T07:17:28.938000,5.0,,2016p890010
173.6092529,-42.28101349,3.602591956,2016-11-25T05:00:43.576000,7.20129776,,2016p889753
174.3297577,-41.66979599,3.318119961,2016-11-25T03:04:20.699000,13.452878,,2016p889535
173.4545898,-42.44717407,3.035211717,2016-11-25T02:41:19.584000,4.840795517,,2016p889491
174.2942657,-41.79236984,3.521787413,2016-11-25T02:19:49.094000,10.04000473,,2016p889451
174.292099,-41.78111267,3.141310131,2016-11-25T02:19:13.447000,10.26407719,,2016p889450
173.5874023,-42.15913773,3.171859091,2016-11-25T00:49:21.388000,5.0,,2016p889281
173.7175598,-42.06793213,3.036807126,2016-11-24T23:43:15.461000,5.0,,2016p889157
173.7907257,-42.29733658,3.420718637,2016-11-24T23:40:34.962000,11.20522308,,2016p889152
173.7818146,-42.29982376,3.051726814,2016-11-24T23:38:07.609000,9.902076721,,2016p889148
174.0590973,-41.90856171,3.319908857,2016-11-24T23:36:19.103000,8.401808739,,2016p889144
173.0522614,-41.50925827,3.074441205,2016-11-24T22:21:41.606000,68.46903229,,2016p889005
173.6058655,-42.2037735,3.989716681,2016-11-24T21:03:23.996000,5.0,,2016p888857
173.6584625,-41.9343605,3.15653204,2016-11-24T20:39:38.919000,5.0,,2016p888813
172.6465607,-42.59399414,3.258968345,2016-11-24T20:14:26.074000,5.0,,2016p888765
173.527359,-42.4276886,3.014196971,2016-11-24T19:44:12.490000,5.0,,2016p888709
172.6479797,-42.60333633,3.930088752,2016-11-24T19:30:47.722000,5.0,,2016p888683
172.7711334,-42.66824341,3.374339987,2016-11-24T19:12:51.917000,4.816469669,,2016p888650
173.5254211,-42.1619072,3.033776636,2016-11-24T18:46:49.411000,5.0,,2016p888601
176.1179657,-40.26424026,4.046097823,2016-11-24T18:16:38.249000,32.98833084,,2016p888544
173.5178986,-42.35333633,4.206833087,2016-11-24T15:49:48.583000,8.433743477,,2016p888269
172.9452362,-42.9301796,3.253498947,2016-11-24T15:47:21.440000,7.300034046,,2016p888264
173.2315521,-42.56282806,3.083326368,2016-11-24T15:12:11.569000,5.0,,2016p888198
174.2602386,-41.76825714,3.069563717,2016-11-24T14:57:44.918000,8.740959167,,2016p888171
174.2149811,-41.78802109,3.179934408,2016-11-24T14:45:39.305000,7.813863754,,2016p888148
173.8551788,-42.33050919,3.096557173,2016-11-24T14:24:38.159000,5.0,,2016p888109
173.9060059,-42.35012436,3.007923717,2016-11-24T14:16:51.178000,5.0,,2016p888094
174.2255707,-41.78521347,3.210444053,2016-11-24T14:06:23.167000,7.428519726,,2016p888075
174.377243,-41.80532074,3.151348609,2016-11-24T13:23:25.752000,15.40925789,,2016p887994
178.9660645,-38.34448242,3.365199385,2016-11-24T09:47:07.828000,12.0,,2016p887588
174.2436981,-41.83361435,3.284210004,2016-11-24T09:05:27.737000,9.848298073,,2016p887510
174.3006134,-41.69173431,3.009167898,2016-11-24T08:53:16.197000,9.4897995,,2016p887487
173.7249603,-42.00226212,4.011064311,2016-11-24T08:11:07.557000,5.0,,2016p887408
173.6011047,-42.35343933,3.702138634,2016-11-24T07:45:52.292000,5.089280605,,2016p887360
178.8657074,-37.30735397,3.052588154,2016-11-24T07:32:54.179000,28.01778603,,2016p887336
173.6911316,-42.37730026,3.015765754,2016-11-24T07:06:59.926000,8.015402794,,2016p887287
176.6741486,-40.58734131,3.110142188,2016-11-24T06:19:55.381000,20.75809288,,2016p887199
177.6854706,-38.76394272,3.072450003,2016-11-24T04:59:57.261000,24.37829399,,2016p887049
174.3282166,-41.74142838,3.621608078,2016-11-24T04:43:12.998000,9.360003471,,2016p887018
175.1860352,-40.70825577,3.935748312,2016-11-24T04:02:08.204000,26.57536697,,2016p886940
173.5108032,-42.18417358,3.307322445,2016-11-24T03:18:46.763000,5.0,,2016p886859
174.2180023,-41.69890213,3.261208331,2016-11-24T03:03:59.523000,5.156872749,,2016p886831
173.8496857,-42.26723862,3.318299104,2016-11-24T02:36:39.888000,12.0,,2016p886780
174.1898651,-41.64507294,3.331930262,2016-11-24T02:15:22.695000,12.11999893,,2016p886740
174.055603,-42.54987717,3.182848053,2016-11-24T02:02:28.301000,5.0,,2016p886716
174.9812775,-41.03365707,3.248791557,2016-11-24T01:33:45.511000,34.50414658,,2016p886662
174.3434753,-41.72942352,3.085347466,2016-11-24T01:18:28.974000,8.544184685,,2016p886633
176.1323579,-39.59715057,3.215110722,2016-11-24T00:09:18.093000,6.875,,2016p886503
174.0294189,-41.96645355,4.320128263,2016-11-24T00:08:29.395000,11.68395329,,2016p886502
174.1734619,-41.81624222,3.896277868,2016-11-23T20:35:38.802000,7.459966183,,2016p886102
172.9729156,-42.94226456,3.181402298,2016-11-23T19:57:23.915000,8.136086464,,2016p886030
176.8362732,-40.60335922,3.009033943,2016-11-23T19:26:30.992000,17.621912,,2016p885973
178.2787781,-37.20679855,3.305477489,2016-11-23T18:54:53.498000,29.83159447,,2016p885913
173.7944794,-42.35322952,3.018087254,2016-11-23T18:53:31.710000,7.703608036,,2016p885911
173.2607117,-42.51912689,3.136877547,2016-11-23T18:27:08.669000,5.0,,2016p885861
173.5404968,-42.14465332,3.019952875,2016-11-23T18:07:41.467000,5.0,,2016p885825
173.1902466,-42.50720596,3.114495397,2016-11-23T17:35:50.969000,5.0,,2016p885765
174.2024078,-41.6076622,3.145607544,2016-11-23T17:19:14.183000,20.54502487,,2016p885733
173.0417938,-42.61098862,3.538382375,2016-11-23T15:57:42.025000,5.0,,2016p885581
174.2252655,-41.69108582,3.313027034,2016-11-23T13:32:57.807000,4.803206444,,2016p885309
173.422226,-42.39634705,3.163508689,2016-11-23T10:55:43.958000,5.0,,2016p885014
173.5168915,-42.17362595,4.097731553,2016-11-23T10:46:36.783000,5.0,,2016p884997
173.8282623,-42.01030731,3.220967419,2016-11-23T10:09:41.746000,7.694727421,,2016p884928
174.2528839,-41.71829987,4.417616563,2016-11-23T10:04:12.747000,11.84852695,,2016p884917
173.5116882,-42.15660858,3.337261195,2016-11-23T09:53:42.397000,5.0,,2016p884898
173.7686615,-42.22434235,3.25592497,2016-11-23T08:42:28.026000,12.0,,2016p884764
173.7002716,-42.4040947,3.130085814,2016-11-23T08:38:01.640000,5.380285263,,2016p884755
174.2725067,-41.70095062,3.130338642,2016-11-23T08:21:41.046000,9.714816093,,2016p884725
173.550827,-42.33076477,3.47684272,2016-11-23T07:40:38.741000,4.84348917,,2016p884648
173.7731171,-42.28896332,3.126015375,2016-11-23T07:30:51.721000,8.266724586,,2016p884629
174.3257294,-41.72602463,3.185888206,2016-11-23T07:20:52.237000,9.63774395,,2016p884611
173.6987457,-42.25654602,3.131938902,2016-11-23T07:17:19.691000,9.269965172,,2016p884604
173.8171387,-42.21643448,3.145630036,2016-11-23T06:50:35.711000,5.0,,2016p884554
173.5171051,-42.19714355,3.156410096,2016-11-23T06:40:11.662000,5.0,,2016p884534
173.5296326,-42.21482468,3.085271852,2016-11-23T05:59:41.727000,5.0,,2016p884458
173.4828033,-42.31911087,3.308714928,2016-11-23T05:35:20.675000,5.0,,2016p884413
174.2727814,-41.73160172,3.735800613,2016-11-23T04:49:13.852000,10.77685452,,2016p884326
174.1789703,-41.69611359,3.896980004,2016-11-23T04:10:43.620000,8.527097702,,2016p884254
173.241272,-42.60668945,3.492239011,2016-11-23T04:09:04.271000,5.0,,2016p884251
173.1771088,-42.48579025,3.440039994,2016-11-23T03:53:17.167000,5.0,,2016p884221
174.2684326,-41.70716476,3.564884219,2016-11-23T03:41:22.386000,11.95991707,,2016p884199
173.7027893,-42.00774002,3.646817063,2016-11-23T03:21:42.263000,9.734305382,,2016p884162
173.2659912,-42.58284378,3.380216058,2016-11-23T03:09:37.321000,5.0,,2016p884139
173.6445312,-42.2231636,3.241932526,2016-11-23T02:50:18.004000,9.747653008,,2016p884103
174.6094971,-40.45553207,3.255835629,2016-11-23T02:43:28.247000,59.7133522,,2016p884090
177.2060394,-40.14626694,3.164603978,2016-11-23T01:48:27.933000,24.22676086,,2016p883987
173.7656708,-42.08859634,3.803047006,2016-11-23T01:34:27.152000,5.0,,2016p883961
172.9465027,-42.92871094,3.00286173,2016-11-23T01:12:02.486000,4.777740002,,2016p883918
174.268631,-41.71095276,4.69603937,2016-11-23T01:00:14.765000,11.73171902,,2016p883896
173.1135406,-42.59913254,3.294041307,2016-11-23T00:29:56.100000,5.0,,2016p883839
173.6803131,-42.12819672,3.299988019,2016-11-22T23:42:23.674000,5.0,,2016p883750
172.9052734,-42.92702103,3.816641474,2016-11-22T21:08:32.472000,5.0,,2016p883461
173.6852722,-42.06109238,3.031447563,2016-11-22T20:24:31.525000,5.0,,2016p883379
176.7596436,-40.34250641,4.167670599,2016-11-22T20:03:00.146000,14.59593201,,2016p883338
174.1942291,-41.79834366,3.104094285,2016-11-22T19:50:29.868000,4.882995129,,2016p883315
171.6371973,-43.02510729,3.50318434,2016-11-22T19:39:46.814000,19.0625,,2016p883295
173.7085571,-42.02244568,4.187104515,2016-11-22T19:24:08.068000,12.0,,2016p883266
174.0912933,-41.86535263,3.006838419,2016-11-22T17:23:22.756000,6.67457056,,2016p883039
173.6717224,-42.24563217,3.051094159,2016-11-22T17:10:41.962000,5.0,,2016p883015
171.685379,-42.68712234,3.539719803,2016-11-22T16:57:17.724000,5.0,,2016p882990
171.6880188,-42.66470718,3.440379575,2016-11-22T16:47:17.503000,5.0,,2016p882971
173.536377,-42.42353439,3.105631101,2016-11-22T16:20:28.978000,2.877195358,,2016p882921
174.4464569,-41.5574379,4.372390108,2016-11-22T15:54:12.070000,12.0,,2016p882872
173.6826019,-42.10216522,3.265259461,2016-11-22T15:43:44.565000,5.0,,2016p882852
176.7142029,-40.27655029,3.516406534,2016-11-22T15:35:26.180000,15.2203846,,2016p882836
176.7156525,-40.27535629,3.104536373,2016-11-22T15:10:57.583000,15.3478651,,2016p882790
176.7199249,-40.27448654,3.478506014,2016-11-22T14:40:00.213000,14.01813316,,2016p882732
174.1963654,-41.80303192,3.801640249,2016-11-22T14:04:07.279000,7.598086357,,2016p882664
173.8288422,-42.01945114,3.096129424,2016-11-22T13:14:48.893000,12.25083447,,2016p882572
178.9620514,-37.52993393,3.11847559,2016-11-22T12:47:09.607000,24.97146797,,2016p882520
172.9503937,-42.93756104,3.620148995,2016-11-22T11:15:38.972000,6.132225037,,2016p882349
175.5691376,-39.86284256,3.639032759,2016-11-22T10:59:57.682000,11.59593201,,2016p882319
173.5797424,-42.20991516,3.125207451,2016-11-22T10:58:14.372000,5.0,,2016p882316
172.812851,-42.65476227,3.057016852,2016-11-22T10:48:56.542000,5.0,,2016p882299
172.96521,-42.94399643,4.994489157,2016-11-22T09:49:38.559000,7.8826437,,2016p882187
172.8989563,-42.94668579,4.23459213,2016-11-22T09:46:04.271000,6.385684013,,2016p882181
173.8835449,-42.36077118,3.04082792,2016-11-22T09:45:33.746000,5.0,,2016p882179
173.653183,-42.13353729,3.266344447,2016-11-22T09:43:02.973000,5.0,,2016p882175
172.8061676,-42.67035675,3.236718004,2016-11-22T08:33:27.480000,7.160094261,,2016p882045
172.9454193,-42.93341446,3.23043113,2016-11-22T08:02:18.106000,4.941139698,,2016p881986
172.9528046,-42.94785309,3.109889664,2016-11-22T07:47:56.472000,7.496572971,,2016p881959
172.9559174,-42.92818832,4.297382708,2016-11-22T07:25:00.086000,4.976022243,,2016p881916
172.9564819,-42.91897202,3.939639923,2016-11-22T07:24:06.916000,5.23636961,,2016p881914
172.9385223,-42.92864609,3.479355184,2016-11-22T07:18:58.706000,5.954549789,,2016p881904
173.7676544,-42.08906937,3.675737505,2016-11-22T07:16:33.561000,12.0,,2016p881900
172.9392548,-42.96133041,3.056642659,2016-11-22T07:15:13.769000,5.165833473,,2016p881897
174.6443481,-40.91200256,3.787418358,2016-11-22T07:08:46.130000,27.35644913,,2016p881885
172.9309235,-42.93492889,3.761676162,2016-11-22T06:38:59.686000,5.985906124,,2016p881829
177.4002533,-40.23762512,3.573124261,2016-11-22T06:35:43.176000,33.0,,2016p881823
174.2476349,-41.82188034,3.081563822,2016-11-22T06:14:28.192000,9.720901489,,2016p881783
172.9273376,-42.91556168,3.308899385,2016-11-22T06:05:38.089000,5.0,,2016p881767
172.9505615,-42.94839859,3.664622948,2016-11-22T06:04:21.795000,8.351392746,,2016p881764
172.9194794,-42.93169785,4.64871674,2016-11-22T05:59:55.920000,9.231980324,,2016p881756
172.9390564,-42.92604446,3.911242118,2016-11-22T05:45:52.157000,6.575522423,,2016p881730
172.936264,-42.93306351,4.559829723,2016-11-22T05:44:09.231000,7.285915375,,2016p881727
172.9154205,-42.93259048,4.517094109,2016-11-22T05:31:57.643000,6.299612999,,2016p881704
172.955307,-42.92425537,3.220050323,2016-11-22T05:30:37.738000,7.019121647,,2016p881701
172.954483,-42.93857574,3.621305145,2016-11-22T05:28:27.943000,6.227971554,,2016p881698
172.9328461,-42.93271255,3.617418267,2016-11-22T05:21:07.151000,5.467224598,,2016p881683
172.9574585,-42.93263626,5.806281681,2016-11-22T05:13:34.822000,7.242141724,,2016p881669
172.9608612,-42.93764496,4.756053392,2016-11-22T05:12:11.390000,7.688224316,,2016p881666
173.7779083,-42.26645279,3.201899708,2016-11-22T04:52:06.730000,9.059209824,,2016p881629
173.6902161,-42.00836945,3.020238686,2016-11-22T04:43:31.769000,12.0,,2016p881613
174.2510986,-41.76071548,4.025190183,2016-11-22T04:37:22.307000,9.814066887,,2016p881601
174.2600861,-41.75682449,3.018218894,2016-11-22T04:20:56.528000,12.10190487,,2016p881570
172.9151459,-42.66911697,3.211071631,2016-11-22T03:30:43.689000,6.753746033,,2016p881476
176.7880402,-40.31567764,3.475767623,2016-11-22T02:57:03.867000,17.98684883,,2016p881413
177.2093811,-40.14700699,3.088180911,2016-11-22T02:39:25.600000,21.71975708,,2016p881380
173.7077332,-42.32431412,3.059520763,2016-11-22T02:09:44.251000,4.963340282,,2016p881324
173.6195831,-42.17803955,3.111650166,2016-11-22T00:19:06.001000,7.681853771,,2016p881116
173.339458,-42.5783826,3.346127144,2016-11-22T00:02:56.571000,44.84375,,2016p881086
170.43,-45.36,3.085577681,2016-11-21T23:32:45,0.0,,2016p881029
173.7570953,-42.3699913,3.597544689,2016-11-21T23:14:11.192000,7.745917797,,2016p880995
176.770813,-40.32352829,3.624627299,2016-11-21T22:45:24.439000,18.14172935,,2016p880941
173.9902496,-41.96900177,3.04463613,2016-11-21T22:10:19.869000,9.728263855,,2016p880876
176.7749481,-40.31407928,4.276787665,2016-11-21T22:04:58.251000,13.57351971,,2016p880865
174.1164093,-41.83254242,3.288640454,2016-11-21T21:54:40.458000,13.01843071,,2016p880845
174.0153046,-42.56406784,4.033962963,2016-11-21T21:36:55.907000,12.0,,2016p880812
173.5990448,-42.15525436,3.094670841,2016-11-21T21:25:40.033000,12.0,,2016p880791
174.3070221,-41.741539,3.102987636,2016-11-21T19:27:23.913000,9.38584137,,2016p880569
173.5774689,-42.15847397,3.159177029,2016-11-21T19:11:57.075000,12.0,,2016p880540
173.5819092,-42.15437698,4.975031303,2016-11-21T17:51:37.034000,5.0,,2016p880389
173.4855194,-42.38375854,3.174856782,2016-11-21T17:33:19.032000,5.0,,2016p880355
173.4367981,-42.50471497,3.279632986,2016-11-21T17:07:23.469000,5.0,,2016p880306
173.7819061,-42.00349045,3.070396638,2016-11-21T16:35:43.282000,10.00347137,,2016p880247
176.7294922,-40.31697845,3.020876768,2016-11-21T16:21:06.478000,16.68575859,,2016p880219
173.1994171,-42.49005127,3.473020835,2016-11-21T16:13:43.014000,5.0,,2016p880205
173.1788025,-42.47060013,3.003535116,2016-11-21T16:04:09.353000,5.0,,2016p880187
173.1924438,-42.49108887,4.380321865,2016-11-21T15:58:11.703000,5.0,,2016p880176
172.8440399,-42.64206314,3.512717464,2016-11-21T14:26:59.710000,7.717637062,,2016p880005
176.7159882,-40.31626511,3.852057269,2016-11-21T13:43:46.559000,13.77478409,,2016p879924
174.0675964,-41.86304474,3.424598918,2016-11-21T13:27:19.327000,10.02925205,,2016p879893
173.5102539,-42.21734238,3.862503583,2016-11-21T13:06:45.026000,5.0,,2016p879855
174.1405945,-41.85867691,3.314532281,2016-11-21T12:45:41.771000,5.574015617,,2016p879815
173.7536926,-41.9980545,3.310567079,2016-11-21T11:59:49.972000,5.0,,2016p879729
174.2252502,-41.82071686,4.068404673,2016-11-21T09:57:28.192000,5.312604427,,2016p879499
176.7949982,-40.32136536,3.924947041,2016-11-21T09:33:04.950000,11.83475971,,2016p879454
173.8796539,-42.17480469,3.088991976,2016-11-21T08:43:49.817000,12.0,,2016p879361
176.7300873,-40.29799271,3.262438359,2016-11-21T08:32:38.807000,15.1397543,,2016p879340
173.5534973,-42.2597084,3.522261497,2016-11-21T08:13:36.471000,5.0,,2016p879304
173.0358734,-42.5955925,3.507417098,2016-11-21T07:17:52.482000,5.0,,2016p879201
173.614563,-42.42613983,3.940245063,2016-11-21T07:15:13.974000,5.0,,2016p879195
176.7256622,-40.30015564,3.173202247,2016-11-21T06:47:07.434000,8.123996735,,2016p879142
173.1293182,-42.73039246,3.058224347,2016-11-21T06:35:16.025000,5.0,,2016p879120
176.7181702,-40.2999649,3.768915265,2016-11-21T06:31:38.022000,12.93035793,,2016p879113
177.7127991,-38.29319382,3.343216454,2016-11-21T06:30:15.794000,24.36489487,,2016p879110
176.3558044,-40.1917038,3.420170476,2016-11-21T05:25:26.609000,39.96186066,,2016p878989
174.1150208,-41.78798294,3.671633095,2016-11-21T05:24:47.191000,8.74170208,,2016p878987
174.3706512,-41.60916901,3.639699141,2016-11-21T05:21:43.397000,12.0,,2016p878982
174.0436859,-41.93925095,4.590429625,2016-11-21T05:06:42.137000,10.0601778,,2016p878954
173.734848,-42.22579575,3.184416802,2016-11-21T04:03:23.395000,12.0,,2016p878835
173.9992523,-41.98242569,3.755678857,2016-11-21T03:48:50.714000,10.24980354,,2016p878807
172.8847961,-42.63009262,3.024917363,2016-11-21T02:49:13.626000,5.0,,2016p878695
174.2380524,-41.66401291,4.107304903,2016-11-21T02:47:09.826000,10.77856255,,2016p878692
